Date,Transaction Description,Category,Amount,Type,Month
2020-03-28,Major town suffer begin.,other,1080.0,Income,2020-03
2020-04-01,Analysis four capital.,travel,1341.27,Expense,2020-04
2020-04-05,Scientist necessary into.,utilities,1449.47,Expense,2020-04
2020-04-06,Away third.,salary,493.56,Expense,2020-04
2020-04-06,Along hard need involve among.,shopping,388.92,Expense,2020-04
2020-04-10,Together decide.,other,3402.0,Income,2020-04
2020-04-17,Government nice.,salary,1729.04,Expense,2020-04
2020-04-17,See understand door class son.,investment,996.0,Income,2020-04
2020-04-18,Agent say forward us.,health & fitness,1603.18,Expense,2020-04
2020-04-22,City red him.,investment,2058.0,Income,2020-04
2020-04-23,Develop staff least figure.,utilities,849.54,Expense,2020-04
2020-04-25,Age cover foreign.,entertainment,1750.23,Expense,2020-04
2020-04-26,Go meeting quickly.,investment,914.0,Income,2020-04
2020-04-26,Voice boy wife condition.,food & drink,1938.3,Expense,2020-04
2020-04-27,Board its.,entertainment,340.96,Expense,2020-04
2020-04-27,Paper memory history office.,entertainment,1730.65,Expense,2020-04
2020-04-29,Remember ability.,utilities,764.16,Expense,2020-04
2020-04-30,Hair attorney professional.,travel,1853.77,Expense,2020-04
2020-05-01,Finish summer rest feel finally.,travel,851.78,Expense,2020-05
2020-05-03,I fast camera inside.,salary,318.05,Expense,2020-05
2020-05-03,Past feeling nature.,food & drink,1162.57,Expense,2020-05
2020-05-05,Expert involve oil.,health & fitness,123.76,Expense,2020-05
2020-05-06,Kid put memory soldier.,utilities,123.19,Expense,2020-05
2020-05-06,Exist professional.,utilities,146.36,Expense,2020-05
2020-05-07,Stand seem.,investment,3807.0,Income,2020-05
2020-05-11,Southern challenge animal.,investment,825.0,Income,2020-05
2020-05-12,Sure authority increase picture create.,shopping,1318.17,Expense,2020-05
2020-05-13,Hundred challenge reach throughout.,health & fitness,1870.07,Expense,2020-05
2020-05-14,Despite sound receive let.,health & fitness,484.99,Expense,2020-05
2020-05-15,True building card.,travel,919.88,Expense,2020-05
2020-05-16,Write other wear through partner.,rent,28.54,Expense,2020-05
2020-05-17,Store natural today season.,rent,155.79,Expense,2020-05
2020-05-19,Else easy point she.,travel,273.59,Expense,2020-05
2020-05-20,Phone ever back experience.,rent,1759.75,Expense,2020-05
2020-05-21,Floor music catch discuss.,utilities,881.99,Expense,2020-05
2020-05-25,Ask imagine my.,travel,1227.24,Expense,2020-05
2020-05-27,Deal information.,food & drink,1339.05,Expense,2020-05
2020-05-28,Task she.,rent,1878.47,Expense,2020-05
2020-05-29,Accept goal send table.,investment,1376.0,Income,2020-05
2020-05-30,Section national owner determine detail.,utilities,551.97,Expense,2020-05
2020-05-31,Ahead from quickly identify.,health & fitness,415.16,Expense,2020-05
2020-05-31,Try wonder move trade.,travel,1015.76,Expense,2020-05
2020-06-01,Base investment.,food & drink,193.67,Expense,2020-06
2020-06-02,Anyone here deep.,travel,97.73,Expense,2020-06
2020-06-05,Seven here sell story.,utilities,1277.86,Expense,2020-06
2020-06-06,Like see.,salary,1107.84,Expense,2020-06
2020-06-07,Difference attention whatever american.,food & drink,232.63,Expense,2020-06
2020-06-08,Current after charge.,utilities,1095.72,Expense,2020-06
2020-06-09,Prove nor design record.,utilities,865.28,Expense,2020-06
2020-06-09,Paper white responsibility.,other,826.0,Income,2020-06
2020-06-10,Blue agent find.,entertainment,1367.31,Expense,2020-06
2020-06-10,Walk cup option store.,health & fitness,1562.43,Expense,2020-06
2020-06-11,Recent feeling.,shopping,1947.94,Expense,2020-06
2020-06-11,Site girl into have media.,entertainment,1730.57,Expense,2020-06
2020-06-12,Support state.,utilities,1764.02,Expense,2020-06
2020-06-14,Whether player stock religious.,other,3872.0,Income,2020-06
2020-06-15,Safe whole establish.,entertainment,540.94,Expense,2020-06
2020-06-18,Let stay or focus.,rent,771.26,Expense,2020-06
2020-06-18,Everything late.,other,2322.0,Income,2020-06
2020-06-18,Particular her agreement surface consider.,other,3364.0,Income,2020-06
2020-06-19,Something future they red.,entertainment,453.62,Expense,2020-06
2020-06-19,Act way beat result major.,shopping,663.24,Expense,2020-06
2020-06-21,Position make society behavior.,travel,708.78,Expense,2020-06
2020-06-21,Reality fill ok list.,health & fitness,1879.08,Expense,2020-06
2020-06-22,International second former reflect.,other,1962.0,Income,2020-06
2020-06-22,Edge building court.,travel,86.13,Expense,2020-06
2020-06-24,Week real course school everybody.,health & fitness,1459.8,Expense,2020-06
2020-06-30,Executive beyond create dinner conference.,rent,776.54,Expense,2020-06
2020-06-30,Call animal approach factor want.,travel,98.33,Expense,2020-06
2020-07-02,Their off.,entertainment,734.8,Expense,2020-07
2020-07-03,Key continue anything wait.,other,3071.0,Income,2020-07
2020-07-04,State husband.,rent,1442.31,Expense,2020-07
2020-07-05,Picture approach chance none fight.,travel,1337.12,Expense,2020-07
2020-07-06,Newspaper indicate other.,travel,1113.28,Expense,2020-07
2020-07-06,Herself training father open investment.,other,1925.0,Income,2020-07
2020-07-08,Art whether between several personal.,travel,818.09,Expense,2020-07
2020-07-11,Church community.,travel,580.96,Expense,2020-07
2020-07-12,Able late order.,health & fitness,935.33,Expense,2020-07
2020-07-12,Discuss religious.,entertainment,1027.24,Expense,2020-07
2020-07-13,Reach under.,utilities,1321.11,Expense,2020-07
2020-07-17,Boy different chance enter.,health & fitness,195.84,Expense,2020-07
2020-07-20,Arrive society.,entertainment,1348.86,Expense,2020-07
2020-07-21,Keep light fight.,entertainment,303.23,Expense,2020-07
2020-07-21,Matter management ball.,other,1096.0,Income,2020-07
2020-07-22,Same page ago director.,entertainment,1439.51,Expense,2020-07
2020-07-22,Week yourself public especially american.,shopping,495.53,Expense,2020-07
2020-07-22,Million kind everything young.,food & drink,1786.39,Expense,2020-07
2020-07-23,Why like impact fly.,rent,1559.06,Expense,2020-07
2020-07-24,Form really explain.,salary,109.93,Expense,2020-07
2020-07-28,Already because education break significant.,rent,918.36,Expense,2020-07
2020-07-28,Price my.,health & fitness,1900.58,Expense,2020-07
2020-07-29,Could gun.,shopping,1662.83,Expense,2020-07
2020-07-30,Kind appear environment capital explain.,utilities,1489.87,Expense,2020-07
2020-07-31,Ahead picture son.,travel,1506.04,Expense,2020-07
2020-08-01,Nearly need behavior.,travel,1533.97,Expense,2020-08
2020-08-01,Water positive child usually.,entertainment,556.45,Expense,2020-08
2020-08-01,Relate indeed lot line lead.,other,2420.0,Income,2020-08
2020-08-02,Course out second carry.,health & fitness,1787.12,Expense,2020-08
2020-08-03,Significant take future.,investment,2394.0,Income,2020-08
2020-08-04,Star executive fear.,utilities,1415.77,Expense,2020-08
2020-08-04,Your majority chance mrs generation.,other,3210.0,Income,2020-08
2020-08-04,Help usually thank wonder draw.,shopping,133.91,Expense,2020-08
2020-08-05,Task improve fish.,shopping,1810.63,Expense,2020-08
2020-08-05,History professional star wonder.,food & drink,1714.9,Expense,2020-08
2020-08-06,Call whole.,shopping,959.19,Expense,2020-08
2020-08-08,Them key.,travel,1509.42,Expense,2020-08
2020-08-08,Address century that wide.,shopping,1081.06,Expense,2020-08
2020-08-09,Sit enter perhaps however.,entertainment,981.58,Expense,2020-08
2020-08-13,System teacher here first.,salary,67.76,Expense,2020-08
2020-08-14,Along attention piece tv young.,shopping,1451.12,Expense,2020-08
2020-08-16,Within set region beyond.,utilities,1961.64,Expense,2020-08
2020-08-17,Tough animal someone.,shopping,1187.87,Expense,2020-08
2020-08-18,Hear certainly most not.,rent,1289.07,Expense,2020-08
2020-08-19,Company participant him.,other,1988.0,Income,2020-08
2020-08-20,Tree central leave effect.,other,3181.0,Income,2020-08
2020-08-21,Together let.,health & fitness,681.63,Expense,2020-08
2020-08-21,Citizen kid generation onto police.,travel,1506.5,Expense,2020-08
2020-08-22,Lead few yourself.,travel,1671.47,Expense,2020-08
2020-08-22,Down occur.,food & drink,1999.82,Expense,2020-08
2020-08-26,Yeah far within.,rent,1564.65,Expense,2020-08
2020-08-27,Account ten sing.,food & drink,1899.73,Expense,2020-08
2020-08-27,Seat strategy total simply discover.,investment,1748.0,Income,2020-08
2020-08-29,Pm per question.,salary,1342.22,Expense,2020-08
2020-08-30,Best physical always small almost.,entertainment,935.42,Expense,2020-08
2020-08-31,Bed far section.,health & fitness,343.9,Expense,2020-08
2020-09-01,Car much will.,rent,1557.81,Expense,2020-09
2020-09-05,Tree store either station.,other,1385.0,Income,2020-09
2020-09-05,Second full boy.,travel,1155.84,Expense,2020-09
2020-09-06,Senior difficult put.,shopping,799.34,Expense,2020-09
2020-09-07,Hand so add mr lawyer.,rent,1188.27,Expense,2020-09
2020-09-08,Herself police he push likely.,entertainment,212.78,Expense,2020-09
2020-09-11,Trip determine as statement.,rent,1594.49,Expense,2020-09
2020-09-11,Bring animal also you.,food & drink,700.94,Expense,2020-09
2020-09-11,Doctor mr.,health & fitness,147.22,Expense,2020-09
2020-09-16,He we recent music.,food & drink,1700.66,Expense,2020-09
2020-09-17,Those pressure street.,rent,872.71,Expense,2020-09
2020-09-17,Allow have kitchen.,salary,1417.54,Expense,2020-09
2020-09-18,Between rate name within.,travel,1235.67,Expense,2020-09
2020-09-18,Huge couple.,salary,935.1,Expense,2020-09
2020-09-22,Begin deep police wife.,travel,651.39,Expense,2020-09
2020-09-22,During call north attention.,rent,565.07,Expense,2020-09
2020-09-22,Only spend do.,salary,1144.0,Expense,2020-09
2020-09-23,Able teach certain candidate economy.,health & fitness,67.11,Expense,2020-09
2020-09-23,Produce ago.,utilities,980.22,Expense,2020-09
2020-09-25,So draw food company.,travel,687.27,Expense,2020-09
2020-09-27,Score moment second.,travel,1116.02,Expense,2020-09
2020-09-27,Sing message board mean.,entertainment,180.37,Expense,2020-09
2020-09-27,Feeling poor all your suggest.,salary,1114.8,Expense,2020-09
2020-09-29,Make travel.,salary,1295.35,Expense,2020-09
2020-09-30,Focus chance.,food & drink,195.18,Expense,2020-09
2020-10-01,Person one republican.,entertainment,619.35,Expense,2020-10
2020-10-03,Most law painting between reduce.,salary,1111.41,Expense,2020-10
2020-10-04,Involve thousand including.,health & fitness,710.1,Expense,2020-10
2020-10-07,Indeed believe interview professor.,travel,510.29,Expense,2020-10
2020-10-07,Rather listen before.,investment,3084.0,Income,2020-10
2020-10-07,It season.,investment,2069.0,Income,2020-10
2020-10-08,News only no.,salary,560.23,Expense,2020-10
2020-10-08,Improve them wait.,travel,1961.22,Expense,2020-10
2020-10-10,Why outside.,travel,462.69,Expense,2020-10
2020-10-10,Official defense.,investment,4875.0,Income,2020-10
2020-10-10,Suggest glass news.,investment,946.0,Income,2020-10
2020-10-12,Off southern suddenly.,utilities,1279.36,Expense,2020-10
2020-10-14,Participant price.,rent,1746.71,Expense,2020-10
2020-10-15,Congress reflect.,salary,962.64,Expense,2020-10
2020-10-16,Go consider century price.,food & drink,512.43,Expense,2020-10
2020-10-16,Scientist will begin.,rent,1646.01,Expense,2020-10
2020-10-16,Heavy law church.,rent,1158.27,Expense,2020-10
2020-10-18,Since nothing be apply.,utilities,306.9,Expense,2020-10
2020-10-19,Anyone bank kitchen interest parent.,travel,179.51,Expense,2020-10
2020-10-23,Democratic mention generation.,shopping,1216.57,Expense,2020-10
2020-10-24,Question or money.,entertainment,1553.63,Expense,2020-10
2020-10-26,Determine worker.,salary,601.73,Expense,2020-10
2020-10-27,Daughter war.,shopping,617.71,Expense,2020-10
2020-10-27,Face build market.,rent,1895.7,Expense,2020-10
2020-10-27,Can mouth discover.,entertainment,536.65,Expense,2020-10
2020-10-28,Author technology amount affect.,investment,1923.0,Income,2020-10
2020-10-29,Office of remember individual.,utilities,15.32,Expense,2020-10
2020-10-30,Again foot soon peace.,salary,589.61,Expense,2020-10
2020-10-31,Join black.,travel,1408.95,Expense,2020-10
2020-11-01,Hundred bad that second develop.,entertainment,1848.58,Expense,2020-11
2020-11-01,Member box.,entertainment,856.03,Expense,2020-11
2020-11-02,Town glass road.,utilities,1817.74,Expense,2020-11
2020-11-04,Bill eight community.,rent,128.68,Expense,2020-11
2020-11-06,Concern significant.,travel,883.92,Expense,2020-11
2020-11-07,Senior service large under.,travel,1402.47,Expense,2020-11
2020-11-09,Follow wife firm key light.,salary,881.14,Expense,2020-11
2020-11-10,Option goal avoid.,shopping,1471.72,Expense,2020-11
2020-11-10,Also hard expert popular.,food & drink,191.74,Expense,2020-11
2020-11-12,Order his oil west school.,food & drink,1999.15,Expense,2020-11
2020-11-12,Training occur could painting.,travel,1156.73,Expense,2020-11
2020-11-14,Whatever late specific.,utilities,946.3,Expense,2020-11
2020-11-14,Mean common.,travel,371.16,Expense,2020-11
2020-11-14,Yard model particular hair.,salary,1938.42,Expense,2020-11
2020-11-14,Impact full our smile.,shopping,673.28,Expense,2020-11
2020-11-15,Form newspaper.,utilities,666.31,Expense,2020-11
2020-11-15,Edge surface who.,travel,1328.54,Expense,2020-11
2020-11-16,Bank professional true financial.,food & drink,915.1,Expense,2020-11
2020-11-16,Organization visit finally.,health & fitness,240.68,Expense,2020-11
2020-11-17,Spend prove stock school.,food & drink,1318.74,Expense,2020-11
2020-11-20,Position interest.,shopping,117.87,Expense,2020-11
2020-11-22,Guy congress.,salary,1254.56,Expense,2020-11
2020-11-23,Way main difficult case.,entertainment,541.44,Expense,2020-11
2020-11-25,Such big side.,other,4089.0,Income,2020-11
2020-11-25,Product then.,salary,251.64,Expense,2020-11
2020-11-26,Heavy class story side speak.,entertainment,1422.47,Expense,2020-11
2020-11-27,Analysis hair rest wide.,food & drink,1108.98,Expense,2020-11
2020-11-27,Doctor dream whole six.,investment,4280.0,Income,2020-11
2020-11-29,Question now key show.,utilities,1001.77,Expense,2020-11
2020-12-01,Month whom stage soon.,travel,836.83,Expense,2020-12
2020-12-05,Appear lose he.,salary,495.02,Expense,2020-12
2020-12-05,Surface expect several evening town.,shopping,389.31,Expense,2020-12
2020-12-06,Begin treat stage this.,utilities,1729.41,Expense,2020-12
2020-12-10,Apply maybe dog yes.,shopping,686.35,Expense,2020-12
2020-12-10,Agreement us stuff.,travel,1642.89,Expense,2020-12
2020-12-11,Case expert stop.,travel,1676.58,Expense,2020-12
2020-12-12,Large accept bad eight.,salary,1731.87,Expense,2020-12
2020-12-13,Vote participant institution simply down.,salary,696.8,Expense,2020-12
2020-12-14,Draw police.,shopping,916.14,Expense,2020-12
2020-12-14,Book toward.,entertainment,1961.74,Expense,2020-12
2020-12-16,Place offer.,shopping,474.79,Expense,2020-12
2020-12-16,Investment pass drive.,food & drink,643.17,Expense,2020-12
2020-12-16,Professor beat window.,shopping,778.3,Expense,2020-12
2020-12-18,Name skill medical after them.,utilities,995.7,Expense,2020-12
2020-12-18,Wonder effect administration small.,other,1322.0,Income,2020-12
2020-12-20,Run pick sign.,salary,208.43,Expense,2020-12
2020-12-20,And national spend.,food & drink,1447.66,Expense,2020-12
2020-12-22,Wonder long consider care.,utilities,158.91,Expense,2020-12
2020-12-23,Fall analysis.,travel,683.74,Expense,2020-12
2020-12-23,Firm financial.,rent,1705.01,Expense,2020-12
2020-12-24,List already positive experience television.,shopping,1908.74,Expense,2020-12
2020-12-25,Event son join hundred.,salary,1746.04,Expense,2020-12
2020-12-26,Fund cost reality happen.,investment,2423.0,Income,2020-12
2020-12-28,Song risk bad.,travel,1994.88,Expense,2020-12
2020-12-30,Family bill foreign fast knowledge.,shopping,1956.89,Expense,2020-12
2020-12-31,Ready goal amount.,rent,892.92,Expense,2020-12
2021-01-01,Your ever woman way avoid.,food & drink,101.52,Expense,2021-01
2021-01-06,Message seek civil all.,travel,723.34,Expense,2021-01
2021-01-06,Call door.,entertainment,1067.02,Expense,2021-01
2021-01-08,Him note painting quickly.,utilities,348.27,Expense,2021-01
2021-01-10,Know baby case happen.,other,2472.0,Income,2021-01
2021-01-10,Economic box save.,utilities,472.06,Expense,2021-01
2021-01-11,Hit no energy employee land.,salary,518.1,Expense,2021-01
2021-01-12,Customer career available common.,other,2856.0,Income,2021-01
2021-01-13,Specific whose.,utilities,156.99,Expense,2021-01
2021-01-13,Remember nearly face feel.,travel,1281.49,Expense,2021-01
2021-01-14,Soldier meeting building.,travel,919.1,Expense,2021-01
2021-01-14,Door management guess.,shopping,1708.14,Expense,2021-01
2021-01-15,Level work candidate this.,other,3440.0,Income,2021-01
2021-01-15,Huge response long.,travel,53.66,Expense,2021-01
2021-01-17,Statement available win politics.,shopping,556.22,Expense,2021-01
2021-01-17,Quite general there sister.,food & drink,1822.13,Expense,2021-01
2021-01-19,Item treat area.,travel,1553.72,Expense,2021-01
2021-01-20,Check clearly follow remember generation.,health & fitness,445.82,Expense,2021-01
2021-01-24,Suffer economy play.,other,1620.0,Income,2021-01
2021-01-26,By field move.,food & drink,624.78,Expense,2021-01
2021-01-27,Option oil commercial.,health & fitness,1467.4,Expense,2021-01
2021-01-27,American tell ball we side.,other,3176.0,Income,2021-01
2021-01-27,Short indicate police.,utilities,409.58,Expense,2021-01
2021-01-27,Nation politics few each southern.,health & fitness,1066.4,Expense,2021-01
2021-01-29,Law read citizen.,utilities,521.37,Expense,2021-01
2021-02-02,Less future century technology.,salary,1935.09,Expense,2021-02
2021-02-05,Wish candidate have no.,health & fitness,1610.42,Expense,2021-02
2021-02-05,Letter environment easy.,rent,290.11,Expense,2021-02
2021-02-08,Face his.,shopping,1934.87,Expense,2021-02
2021-02-08,While total spend.,health & fitness,189.7,Expense,2021-02
2021-02-09,Couple city you level.,travel,1077.78,Expense,2021-02
2021-02-09,Age war measure whom.,travel,1173.27,Expense,2021-02
2021-02-11,Good anything manager think pressure.,health & fitness,225.61,Expense,2021-02
2021-02-11,Mr suggest issue.,food & drink,1242.9,Expense,2021-02
2021-02-13,Shake hand hundred now.,health & fitness,1831.36,Expense,2021-02
2021-02-16,Network available mean share.,rent,1274.45,Expense,2021-02
2021-02-18,Quite budget window hour some.,travel,1301.99,Expense,2021-02
2021-02-19,Voice sense current meeting matter.,investment,804.0,Income,2021-02
2021-02-20,Case four.,salary,241.08,Expense,2021-02
2021-02-21,Lead paper middle foreign party.,utilities,783.41,Expense,2021-02
2021-02-23,Wrong school federal from.,shopping,1178.81,Expense,2021-02
2021-02-24,Majority none little admit former.,shopping,1313.29,Expense,2021-02
2021-02-27,On someone rise read.,shopping,1878.72,Expense,2021-02
2021-02-28,Listen whose situation simply officer.,health & fitness,442.37,Expense,2021-02
2021-03-02,Lose modern return simple herself.,entertainment,1712.35,Expense,2021-03
2021-03-02,Occur red.,other,4960.0,Income,2021-03
2021-03-02,Kid industry.,health & fitness,130.49,Expense,2021-03
2021-03-04,Improve simple turn.,rent,1898.53,Expense,2021-03
2021-03-05,Million night your.,rent,1328.91,Expense,2021-03
2021-03-05,Heavy what least mouth national.,food & drink,110.65,Expense,2021-03
2021-03-07,Machine whatever everything fear walk.,utilities,1576.09,Expense,2021-03
2021-03-07,Relate real major.,entertainment,1176.9,Expense,2021-03
2021-03-08,Night various return explain.,entertainment,663.83,Expense,2021-03
2021-03-09,Here woman stand west source.,investment,2771.0,Income,2021-03
2021-03-09,Explain research.,utilities,1975.18,Expense,2021-03
2021-03-10,Pretty section degree still.,utilities,228.75,Expense,2021-03
2021-03-12,Receive case past only drug.,utilities,39.57,Expense,2021-03
2021-03-15,Point appear including.,entertainment,1181.82,Expense,2021-03
2021-03-15,Race case.,other,929.0,Income,2021-03
2021-03-16,Imagine various there.,other,4809.0,Income,2021-03
2021-03-16,Sense expert experience.,investment,4401.0,Income,2021-03
2021-03-17,Present discussion.,health & fitness,1031.34,Expense,2021-03
2021-03-17,Individual study value.,investment,855.0,Income,2021-03
2021-03-18,Small control see the.,travel,921.5,Expense,2021-03
2021-03-19,Across nothing.,food & drink,1997.19,Expense,2021-03
2021-03-20,Expect writer myself management.,shopping,1375.33,Expense,2021-03
2021-03-21,Life cover both class.,salary,156.25,Expense,2021-03
2021-03-22,Responsibility add front.,investment,1038.0,Income,2021-03
2021-03-22,Purpose cover particularly police if.,other,3620.0,Income,2021-03
2021-03-22,Foreign husband believe word local.,travel,912.89,Expense,2021-03
2021-03-23,End dog.,rent,1588.26,Expense,2021-03
2021-03-23,Few reveal activity president.,investment,4023.0,Income,2021-03
2021-03-24,Property let.,entertainment,833.49,Expense,2021-03
2021-03-25,Rather type thousand show.,shopping,837.82,Expense,2021-03
2021-03-26,Happen determine whatever.,other,3060.0,Income,2021-03
2021-03-27,Lawyer writer health.,health & fitness,1907.65,Expense,2021-03
2021-03-28,Serious soon stay seven.,salary,143.6,Expense,2021-03
2021-03-29,Land region back nor article.,rent,869.43,Expense,2021-03
2021-03-30,Dark mr clearly take.,health & fitness,1625.42,Expense,2021-03
2021-04-01,Quite response.,health & fitness,1343.33,Expense,2021-04
2021-04-02,Together knowledge.,shopping,1737.5,Expense,2021-04
2021-04-03,Car indeed nor next.,travel,1204.82,Expense,2021-04
2021-04-03,How staff.,entertainment,317.91,Expense,2021-04
2021-04-03,Authority interest red must art.,rent,706.73,Expense,2021-04
2021-04-08,All important shoulder she.,rent,1527.59,Expense,2021-04
2021-04-08,Year him thank trade.,shopping,1691.86,Expense,2021-04
2021-04-09,Radio product.,food & drink,1221.9,Expense,2021-04
2021-04-11,President girl condition.,travel,67.62,Expense,2021-04
2021-04-11,More road development about.,travel,1843.86,Expense,2021-04
2021-04-12,Leg rest interest.,utilities,1741.03,Expense,2021-04
2021-04-13,Easy get every.,shopping,148.47,Expense,2021-04
2021-04-18,Special information.,food & drink,192.6,Expense,2021-04
2021-04-19,Deal beyond almost.,shopping,845.47,Expense,2021-04
2021-04-19,Scientist i doctor.,health & fitness,630.16,Expense,2021-04
2021-04-19,Cell year.,rent,1767.85,Expense,2021-04
2021-04-19,Five our pull fly few.,investment,1168.0,Income,2021-04
2021-04-21,Determine feel article we they.,shopping,976.47,Expense,2021-04
2021-04-23,Quickly new another general poor.,travel,438.98,Expense,2021-04
2021-04-23,Five indicate chance heavy senior.,health & fitness,865.53,Expense,2021-04
2021-04-24,Support feeling remain.,salary,1058.6,Expense,2021-04
2021-04-27,None whose.,entertainment,796.57,Expense,2021-04
2021-04-27,Care drug data position two.,food & drink,416.8,Expense,2021-04
2021-04-27,Movie stop.,utilities,1530.68,Expense,2021-04
2021-04-30,Help painting always.,rent,25.38,Expense,2021-04
2021-05-02,Source onto provide.,utilities,267.08,Expense,2021-05
2021-05-04,Decade trade field training.,entertainment,1005.52,Expense,2021-05
2021-05-04,While bring yourself.,health & fitness,153.43,Expense,2021-05
2021-05-06,Receive region however.,food & drink,878.08,Expense,2021-05
2021-05-07,Focus executive letter possible final.,rent,1725.6,Expense,2021-05
2021-05-07,Third letter sort reveal seven.,shopping,1421.9,Expense,2021-05
2021-05-07,Have including none.,rent,816.01,Expense,2021-05
2021-05-10,Administration network once.,utilities,1604.63,Expense,2021-05
2021-05-11,Charge form here.,health & fitness,185.38,Expense,2021-05
2021-05-11,Nearly want front shake.,entertainment,877.0,Expense,2021-05
2021-05-12,Leave run goal cause.,rent,797.58,Expense,2021-05
2021-05-14,Contain threat wrong whatever.,health & fitness,450.93,Expense,2021-05
2021-05-14,Stuff avoid.,rent,1025.86,Expense,2021-05
2021-05-15,Include successful.,investment,3362.0,Income,2021-05
2021-05-17,Religious across.,utilities,480.18,Expense,2021-05
2021-05-19,Health pay project pattern.,investment,1921.0,Income,2021-05
2021-05-22,Administration mother in admit.,rent,362.52,Expense,2021-05
2021-05-23,Within admit spend purpose south.,salary,933.27,Expense,2021-05
2021-05-24,Truth modern.,salary,1365.46,Expense,2021-05
2021-05-24,People education great.,health & fitness,1729.85,Expense,2021-05
2021-05-24,Health image.,utilities,885.13,Expense,2021-05
2021-05-25,Wrong difficult range.,travel,1594.7,Expense,2021-05
2021-05-25,Behavior here.,health & fitness,1019.6,Expense,2021-05
2021-05-27,Argue act commercial matter.,salary,84.84,Expense,2021-05
2021-05-27,Not teach believe month.,travel,162.69,Expense,2021-05
2021-05-29,Deep test thought.,rent,1233.87,Expense,2021-05
2021-05-30,Another avoid understand.,salary,1164.86,Expense,2021-05
2021-05-31,Probably conference sure administration debate.,food & drink,904.97,Expense,2021-05
2021-05-31,Up federal nor note.,entertainment,649.84,Expense,2021-05
